from,number_of_transactions,standard_deviation,period,number_of_blocks,value
0x0f1F99EF5a3F370a7C5999cb1A6bCF1aF648f138,221,1.717075918605369,1.9365079365079365,63,1.01e+20
0x0fB5a3BA4621CCb3624DeeBf7C0D4DA4e3A11922,152,2.7250428053010753,2.081081081081081,37,1.01e+20
0x1019AD8669999cD307D6612a3eEe6F13b026225F,206,0.5259911279353167,1.3,30,1.01e+20
0x119B091a5dd8022f713bEc58edfdd33b7d3509A8,178,1.588784029966802,1.8928571428571428,56,1.698892033285788e+19
0x129739ab324fC3c02E3e89c4D6a56E80d0eeC82c,155,1.83331901237461,1.826086956521739,23,1.01e+20
0x12dEc3e3CB445cf438FFfC3b1948d767f488E0Bf,133,2.265046309153236,2,23,1.01e+20
0x133dcE9f6be2857067E904cA4a653ECA0b10967b,164,1.2196427118919713,1.8095238095238095,21,1.01e+20
0x13A6dB9bd48445a6a31F907cF5a0fc2C672d72E7,164,2.3227846907802676,2.323529411764706,34,1.01e+20
0x147a07939E5afe3D37d09F3E88A5D0D531aD3cFB,29,2.8862358086021214,5.25,28,4.272451051526906e+18
0x149E872b85470CB243a8d881BECa0c1E4D8ba9A7,91,1.44712916682816,1.894736842105263,19,1.51e+20
0x14AEb08273F5dd5C4C1665106cFfc90B4A00BA3c,230,2.058177288282037,2.0375,80,1.01e+20
0x14e1ff23b34Be8b08f3FE2361c58c2FE865b0bb4,70,2.262741699796952,2,25,1.01e+20
0x16030963e037c88B77eb6c52f3A759A7Be0000E7,87,1.5877132402714709,1.75,24,1.01e+20
0x161525633788fA26ba1C2d7392afd8bbD301B7d2,142,1.6815171720800235,2.15,20,1.01e+20
0x16B759605AF229498bEb757759B8140B1624Cc61,88,1.267228214229298,2.0357142857142856,28,1.01e+20
0x177AfB084eACEe540478be154C21f99DA8368982,32,2.0995626366712954,2.857142857142857,21,1.01e+20
0x17d2011531820848832e87eb27D546810Fa75E60,204,0.653834841531101,1.35,20,1.01e+20
0x1815944F66F4569340Eb28a365b196DF932399f6,1945,1.317795097079416,1.7075098814229248,506,2.170680321371006e+21
0x18a3D5D3A0F875f46c483Cfa21428645b22c0667,193,0.9968960090664231,1.7727272727272727,22,1.01e+20
0x18c835fa47ae0A0280ceffC20aE858304Dc94D56,132,1.8323047563714958,2.1052631578947367,19,1.01e+20
0x1906807F5cb5eAcF7fb1dFE48D3C1e9f733eAB0B,229,2.820744090168802,3.0416666666666665,48,1.01e+20
0x1932CC659C2A9C0486865493CA1544B9D869ef3C,196,1.4294089255854008,1.6111111111111112,72,1.01e+20
0x19D73746635489E3516C03856D767B1135Ef5f1c,314,1.0191578881760868,1.4929577464788732,71,1.01e+20
0x19b7F2e1a8dc05c51Decc1C3f92A0316aFB026c1,102,1.4024771473219555,1.8181818181818181,22,1.01e+20
0x1B19EaBd7C8e32ba703B8EBbC81AbCFb82CbC587,132,0.20393111999232302,1.0434782608695652,23,5.96440246e+18
0x1B29ce277B96f77B94E6A5F6BDDFadaf9ca3c0DE,65,1.1565465835840767,1.68,25,1.2256972550444999e+19
0x1B3B3400487EC4A91fBF6A2c656eE25D6A466cdD,138,1.613743060919757,2.25,24,1.01e+20
0x1B44f79c368d5332c9DFef5258BcF4d0bFb18DfC,23,0.9359663764533636,3.1818181818181817,22,0
0x1B9313d03fc4EeFC6E359B2D0B1c417918061167,345,1.8768929838238708,1.5,22,1.51e+20
0x1C6C9e4ca7c46a4b8f55bF2939d7ed578211C226,53,2.1199941037653853,2.175,40,1.169162777947312e+20
0x1D0141C6b1fE2ee40bb1503944ec1433f4874379,48,0.4330127018922193,1.25,20,1.01e+20
0x1D291130521b68C465CA0E81a797fCa6f664545b,125,1.632461502013311,1.5416666666666667,24,1.51e+20
0x1E9c09551968Bb4e33ab3366a638512b3B63Bf4C,139,1.6726577454811267,1.7894736842105263,19,1.01e+20
0x1F9e700D087e93398cA77f8eB4913B61819F4AB3,59,1.9078493642517744,2.210526315789474,19,5.1e+19
0x1a54EcCACEa63515e7b16638702df498fca72091,302,1.1337189067651587,1.631578947368421,19,1.01e+20
0x1bbfc906Ea5Edc9B0DdCB20A1a86747bE75B3ac7,30,2.32588095615881,4.583333333333333,24,4.2124456836845535e+20
0x1c425e66144f0d39e8B6992ADD6A7a3F623d8D8f,210,1.6821554314204294,2.091549295774648,142,0
